file	topic	score
data/SOTUsince1945/George_W._Bush_January_23,_2007.txt	topic2	0.730549303451
data/SOTUsince1945/George_W._Bush_January_23,_2007.txt	topic3	0.269185020896
data/SOTUsince1945/Dwight_D._Eisenhower_January_12,_1961.txt	topic1	0.0133303539584
data/SOTUsince1945/Dwight_D._Eisenhower_January_12,_1961.txt	topic2	0.986458565474
data/SOTUsince1945/Richard_Nixon_January_30,_1974.txt	topic2	0.928743926728
data/SOTUsince1945/Richard_Nixon_January_30,_1974.txt	topic3	0.0708763810418
data/SOTUsince1945/Jimmy_Carter_January_21,_1980.txt	topic2	0.99928014865
data/SOTUsince1945/William_J._Clinton_February_4,_1997.txt	topic3	0.999644631165
data/SOTUsince1945/John_F._Kennedy_January_11,_1962.txt	topic1	0.0190417662894
data/SOTUsince1945/John_F._Kennedy_January_11,_1962.txt	topic2	0.671472315797
data/SOTUsince1945/John_F._Kennedy_January_11,_1962.txt	topic3	0.309379302316
data/SOTUsince1945/George_H.W._Bush_January_31,_1990.txt	topic2	0.433859502957
data/SOTUsince1945/George_H.W._Bush_January_31,_1990.txt	topic3	0.565709659071
data/SOTUsince1945/William_J._Clinton_February_17,_1993.txt	topic3	0.998811256412
data/SOTUsince1945/Ronald_Reagan_February_6,_1985.txt	topic2	0.0488029909136
data/SOTUsince1945/Ronald_Reagan_February_6,_1985.txt	topic3	0.950849913658
data/SOTUsince1945/Barack_Obama_February_12,_2013.txt	topic3	0.999659324698
data/SOTUsince1945/Ronald_Reagan_January_27,_1987.txt	topic1	0.140111183342
data/SOTUsince1945/Ronald_Reagan_January_27,_1987.txt	topic2	0.0603659282606
data/SOTUsince1945/Ronald_Reagan_January_27,_1987.txt	topic3	0.799319528961
data/SOTUsince1945/William_J._Clinton_January_19,_1999.txt	topic3	0.999688638053
data/SOTUsince1945/Richard_Nixon_January_22,_1971.txt	topic2	0.469930995834
data/SOTUsince1945/Richard_Nixon_January_22,_1971.txt	topic3	0.529654917731
data/SOTUsince1945/Gerald_R._Ford_January_12,_1977.txt	topic2	0.999495258055
data/SOTUsince1945/Ronald_Reagan_February_4,_1986.txt	topic3	0.564639113649
data/SOTUsince1945/Ronald_Reagan_February_4,_1986.txt	topic4	0.434929471784
data/SOTUsince1945/Barack_Obama_February_24,_2009.txt	topic3	0.999584542868
data/SOTUsince1945/Richard_Nixon_February_2,_1973.txt	topic2	0.715566818595
data/SOTUsince1945/Richard_Nixon_February_2,_1973.txt	topic4	0.281616162139
data/SOTUsince1945/Dwight_D._Eisenhower_January_9,_1959.txt	topic2	0.996734810397
data/SOTUsince1945/Jimmy_Carter_January_19,_1978.txt	topic2	0.825667396403
data/SOTUsince1945/Jimmy_Carter_January_19,_1978.txt	topic3	0.173951258025
data/SOTUsince1945/Gerald_R._Ford_January_15,_1975.txt	topic2	0.999313646722
data/SOTUsince1945/Dwight_D._Eisenhower_January_5,_1956.txt	topic1	0.671481770384
data/SOTUsince1945/Dwight_D._Eisenhower_January_5,_1956.txt	topic2	0.328348330976
data/SOTUsince1945/Richard_Nixon_January_22,_1970.txt	topic2	0.923197642319
data/SOTUsince1945/Richard_Nixon_January_22,_1970.txt	topic3	0.0764141830793
data/SOTUsince1945/William_J._Clinton_January_27,_2000.txt	topic3	0.999707966958
data/SOTUsince1945/George_W._Bush_January_20,_2004.txt	topic2	0.570124840711
data/SOTUsince1945/George_W._Bush_January_20,_2004.txt	topic3	0.429594679259
data/SOTUsince1945/Ronald_Reagan_January_25,_1984.txt	topic2	0.546962021749
data/SOTUsince1945/Ronald_Reagan_January_25,_1984.txt	topic3	0.452742211518
data/SOTUsince1945/Richard_Nixon_January_20,_1972.txt	topic2	0.964442340297
data/SOTUsince1945/Richard_Nixon_January_20,_1972.txt	topic3	0.0351110212038
data/SOTUsince1945/Dwight_D._Eisenhower_January_9,_1958.txt	topic2	0.999543007319
data/SOTUsince1945/Barack_Obama_January_28,_2014.txt	topic3	0.999676946103
data/SOTUsince1945/George_W._Bush_January_31,_2006.txt	topic2	0.648267391903
data/SOTUsince1945/George_W._Bush_January_31,_2006.txt	topic3	0.351454679839
data/SOTUsince1945/Harry_S._Truman_January_8,_1951.txt	topic2	0.999340517069
data/SOTUsince1945/George_W._Bush_September_20,_2001.txt	topic4	0.994976348502
data/SOTUsince1945/Dwight_D._Eisenhower_January_7,_1954.txt	topic1	0.146794741304
data/SOTUsince1945/Dwight_D._Eisenhower_January_7,_1954.txt	topic2	0.852972534732
